pc_loc,hot_loc
"51.271786,-113.97832","50.8627443,-114.7954559"
"51.271786,-113.97832","50.8429257,-114.8487139"
"51.271786,-113.97832","50.858334,-114.7941598"
"51.271786,-113.97832","50.8624904,-114.7936736"
"51.0719826666667,-114.084834444444","50.7980895,-114.8468122"
"51.0719826666667,-114.084834444444","50.8627443,-114.7954559"
"51.0719826666667,-114.084834444444","50.8429257,-114.8487139"
"51.0719826666667,-114.084834444444","50.858334,-114.7941598"
"51.0719826666667,-114.084834444444","50.5209579,-114.7725981"
"51.0719826666667,-114.084834444444","50.793767,-114.8556157"
"51.0719826666667,-114.084834444444","50.8624904,-114.7936736"
"51.0818673333333,-114.049619333333","50.7980895,-114.8468122"
"51.0818673333333,-114.049619333333","50.8627443,-114.7954559"
"51.0818673333333,-114.049619333333","50.8429257,-114.8487139"
"51.0818673333333,-114.049619333333","50.858334,-114.7941598"
"51.0818673333333,-114.049619333333","50.793767,-114.8556157"
"51.0818673333333,-114.049619333333","50.8624904,-114.7936736"
"51.14091575,-114.212478375","50.7980895,-114.8468122"
"51.14091575,-114.212478375","50.8627443,-114.7954559"
"51.14091575,-114.212478375","50.6352591,-115.0207181"
"51.14091575,-114.212478375","50.8429257,-114.8487139"
"51.14091575,-114.212478375","50.858334,-114.7941598"
"51.14091575,-114.212478375","50.5209579,-114.7725981"
"51.14091575,-114.212478375","50.793767,-114.8556157"
"51.14091575,-114.212478375","50.8624904,-114.7936736"
"51.012764,-114.073174","50.5969496,-114.9880251"
"51.012764,-114.073174","50.7980895,-114.8468122"
"51.012764,-114.073174","50.8627443,-114.7954559"
"51.012764,-114.073174","50.6352591,-115.0207181"
"51.012764,-114.073174","50.60375,-114.98474"
"51.012764,-114.073174","50.8429257,-114.8487139"
"51.012764,-114.073174","50.858334,-114.7941598"
"51.012764,-114.073174","50.5224824,-114.8401684"
"51.012764,-114.073174","50.5209579,-114.7725981"
"51.012764,-114.073174","50.793767,-114.8556157"
"51.012764,-114.073174","50.8624904,-114.7936736"
"53.387611,-117.597096","53.0586103,-118.1105986"
"53.387611,-117.597096","53.0107649,-118.0895734"
"53.387611,-117.597096","52.7500791,-118.1415868"
"50.9801825,-114.015448666667","50.5969496,-114.9880251"
"49.485291,-113.94911","49.0172699,-114.0461969"
"49.485291,-113.94911","49.1308275,-114.02692"
"49.485291,-113.94911","49.1293831,-114.029181"
"49.485291,-113.94911","49.0977994,-113.9510707"
"49.485291,-113.94911","49.0529453,-114.0582561"
"49.485291,-113.94911","49.0247222,-113.9975"
"49.485291,-113.94911","49.0783708,-113.9677638"
"49.485291,-113.94911","49.0173825,-114.0564537"
"49.485291,-113.94911","49.0249688,-113.6857282"
"49.485291,-113.94911","49.1206551,-113.9994755"
"53.284551,-117.869208","52.6812216,-118.0447912"
"53.284551,-117.869208","53.0586103,-118.1105986"
"53.284551,-117.869208","52.6669499,-118.043453"
