locality_id,postal_code,cost_time,cost_driving,cost_total
L1513149,T2M0Z4,30.017254901960786,41.184,71.20125490196078
L1513149,T2M4K4,25.449411764705886,41.184,66.63341176470588
L1513149,T2M3X9,25.298823529411766,41.184,66.48282352941176
L1513149,T2M0W1,26.302745098039214,41.184,67.48674509803921
L1513149,T2M0E3,22.613333333333333,41.184,63.79733333333333
L1513149,T2M0Y7,31.021176470588234,41.184,72.20517647058823
L1513149,T2M1J6,35.68941176470588,41.184,76.87341176470588
L1513149,T2M1Y4,40.85960784313726,41.184,82.04360784313727
L1513149,T2M2M5,35.839999999999996,41.184,77.024
L2588929,T2M0Z4,19.136000000000003,21.828,40.964
L2588929,T2M4K4,16.224,21.828,38.052
L2588929,T2M3X9,16.128,21.828,37.956
L2588929,T2M0W1,16.767999999999997,21.828,38.596
L2588929,T2M0E3,14.416,21.828,36.244
L2588929,T2M0Y7,19.776,21.828,41.604
L2588929,T2M1J6,22.752,21.828,44.58
L2588929,T2M1Y4,26.048000000000002,21.828,47.876000000000005
L2588929,T2M2M5,22.848,21.828,44.676
L4602433,T2M0Z4,43.149803921568626,60.288,103.43780392156862
L4602433,T2M4K4,36.5835294117647,60.288,96.8715294117647
L4602433,T2M3X9,36.36705882352941,60.288,96.6550588235294
L4602433,T2M0W1,37.81019607843137,60.288,98.09819607843136
L4602433,T2M0E3,32.50666666666666,60.288,92.79466666666666
L4602433,T2M0Y7,44.59294117647058,60.288,104.88094117647057
L4602433,T2M1J6,51.3035294117647,60.288,111.5915294117647
L4602433,T2M1Y4,58.7356862745098,60.288,119.0236862745098
L4602433,T2M2M5,51.519999999999996,60.288,111.80799999999999
L9196224,T2M0Z4,41.273725490196085,58.05,99.32372549019608
L9196224,T2M4K4,34.992941176470595,58.05,93.04294117647059
L9196224,T2M3X9,34.78588235294118,58.05,92.83588235294118
L9196224,T2M0W1,36.16627450980392,58.05,94.21627450980392
L9196224,T2M0E3,31.093333333333334,58.05,89.14333333333333
L9196224,T2M0Y7,42.654117647058825,58.05,100.70411764705882
L9196224,T2M1J6,49.07294117647059,58.05,107.12294117647059
L9196224,T2M1Y4,56.18196078431373,58.05,114.23196078431373
L9196224,T2M2M5,49.28,58.05,107.33
L8891183,T2M0Z4,32.268549019607846,37.926,70.19454901960785
L8891183,T2M4K4,27.358117647058823,37.926,65.28411764705882
L8891183,T2M3X9,27.19623529411765,37.926,65.12223529411764
L8891183,T2M0W1,28.275450980392154,37.926,66.20145098039215
L8891183,T2M0E3,24.30933333333333,37.926,62.23533333333333
L8891183,T2M0Y7,33.34776470588235,37.926,71.27376470588234
L8891183,T2M1J6,38.36611764705882,37.926,76.29211764705883
L8891183,T2M1Y4,43.92407843137255,37.926,81.85007843137255
L8891183,T2M2M5,38.528,37.926,76.45400000000001
